cell_id,x,y,sample_id,condition,genotype,cell_type,niche_k12,niche_k8,niche_k10
output-XETG00045__0059976__litt_24h__20250725__091031_aaogljii-1,614.3069458007812,3633.453857421875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaogpgei-1,681.2648315429688,3728.372314453125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,M2-like Macrophage,4,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_aaoligoj-1,659.545166015625,3707.04345703125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aaomjeki-1,674.5099487304688,3723.591552734375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,IL33+ Inflammatory Fibroblast,4,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_aaonhikd-1,669.520751953125,3712.665283203125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,DAMP-Responsive Macrophage,4,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_aaopdkfb-1,549.0447387695312,3677.956298828125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapadjcj-1,578.8258056640625,3611.596923828125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Inflammatory Macrophage (GRN+ chemokine),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapckbdp-1,555.53515625,3708.763916015625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Macrophage (IFN+ M1/M2),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapelcab-1,542.4127807617188,3683.72119140625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapfmgba-1,549.5115356445312,3761.76513671875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapgnnnb-1,526.0704956054688,3780.505126953125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Activated Endothelial Cell,2,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_aaphckkk-1,566.5217895507812,3762.576171875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Activated Endothelial Cell,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapiejbp-1,555.7794189453125,3718.9248046875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Inflammatory Macrophage (GRN+ chemokine),4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapjpnfd-1,573.6636352539062,3740.554931640625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,3,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapnfhie-1,572.704833984375,3724.9130859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_aapodojg-1,575.419677734375,3848.8994140625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_aapofgkk-1,577.1190185546875,3878.37255859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_abaihhgc-1,584.5156860351562,3819.38037109375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,M2-like Macrophage,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_abajeeda-1,480.3481750488281,3884.698486328125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Immunoregulatory Myeloid Cell (CXCL12-high),4,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_abakjcbn-1,501.8243713378906,3906.337890625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,M2-like Macrophage,4,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_abapegfd-1,508.2607421875,3891.13330078125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Fiber (IIB/IIX),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_abbbecpj-1,509.8211975097656,3852.968017578125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Wound-Associated Macrophage,2,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_abbbjboo-1,534.4397583007812,3940.640869140625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_abbdegnn-1,511.4204406738281,3933.58642578125,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Basal Keratinocyte (hemidesmosome collapse),2,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_abbiebpc-1,527.3534545898438,3890.869384765625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Cell (myoblast/myotube),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_abbikpce-1,511.9308166503906,3880.943115234375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Skeletal Muscle Cell (myoblast/myotube),8,4,0
output-XETG00045__0059976__litt_24h__20250725__091031_abbildac-1,594.5673217773438,3716.273193359375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,DAMP-Responsive Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_abbkpgie-1,610.1259765625,3740.63916015625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,2,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_abblednj-1,623.1747436523438,3736.81396484375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Activated Endothelial Cell,4,3,4
output-XETG00045__0059976__litt_24h__20250725__091031_abbnmdgl-1,614.9622802734375,3719.734130859375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,2,3,5
output-XETG00045__0059976__litt_24h__20250725__091031_abbokjkg-1,698.1332397460938,3668.21875,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_abccgknm-1,735.8438110351562,3651.69140625,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
output-XETG00045__0059976__litt_24h__20250725__091031_abcdcmij-1,704.3060913085938,3652.2646484375,output-XETG00045__0059976__litt_24h__20250725__091031_1,litt_24h,litt,Interferon-Responsive Regulatory Macrophage,4,1,5
