,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
16753,Jarid2,cre_72h_vs_litt_72h,0.18957171675068452,0.38729069019595935,0.8932751903536521,9.013831632504045,8.82425991575336,3,3,pseudobulk_mean
16754,Ung,cre_72h_vs_litt_72h,2.188081780376191,0.38745464030496646,0.8932751903536521,6.144629121472749,3.956547341096558,3,3,pseudobulk_mean
16755,Ldlr,cre_72h_vs_litt_72h,0.5642593612153384,0.38759365882019464,0.8932751903536521,7.491218925086876,6.926959563871538,3,3,pseudobulk_mean
16756,Trem2,cre_72h_vs_litt_72h,-1.1326135099190715,0.3877209203586124,0.8932751903536521,7.75098453458714,8.883598044506211,3,3,pseudobulk_mean
16757,Msln,cre_72h_vs_litt_72h,-0.7691813096627187,0.3885092682570055,0.8932751903536521,3.772810035222895,4.541991344885614,3,3,pseudobulk_mean
16758,Fbxo3,cre_72h_vs_litt_72h,0.25335289767325975,0.38852614702736327,0.8932751903536521,9.293067275592625,9.039714377919365,3,3,pseudobulk_mean
16759,Tlcd1,cre_72h_vs_litt_72h,2.488131022330581,0.38857963236097526,0.8932751903536521,6.993449022317873,4.505317999987292,3,3,pseudobulk_mean
16760,Mcu,cre_72h_vs_litt_72h,-0.2935926137123701,0.38869249308460097,0.8932751903536521,5.685468877587926,5.979061491300296,3,3,pseudobulk_mean
16761,Gabpb1,cre_72h_vs_litt_72h,-0.37590034702929387,0.3887036650702551,0.8932751903536521,6.4685738048848584,6.844474151914152,3,3,pseudobulk_mean
16762,Inhbb,cre_72h_vs_litt_72h,-0.6289625237092586,0.3888699819211323,0.8932751903536521,5.775689951925844,6.404652475635102,3,3,pseudobulk_mean
16763,Rala,cre_72h_vs_litt_72h,0.22591254861842014,0.38896396654728,0.8932751903536521,7.482241963145878,7.256329414527458,3,3,pseudobulk_mean
16764,Wrnip1,cre_72h_vs_litt_72h,-0.30373295569374914,0.388994091111923,0.8932751903536521,7.617885947508836,7.921618903202585,3,3,pseudobulk_mean
16765,Ephb3,cre_72h_vs_litt_72h,1.1213666861097282,0.38904738289985696,0.8932751903536521,7.9823164038960215,6.860949717786293,3,3,pseudobulk_mean
16766,Brcc3,cre_72h_vs_litt_72h,1.783177863998231,0.3891694152918381,0.8932751903536521,5.042516821905063,3.259338957906832,3,3,pseudobulk_mean
16767,Lyg1,cre_72h_vs_litt_72h,1.1306328818950309,0.38919046117988865,0.8932751903536521,1.8194352712082107,0.6888023893131798,3,3,pseudobulk_mean
